Input string, Largest Time 
0000,00:00
0001,10:00
0002,20:00
0003,03:00
0004,04:00
0005,05:00
0006,06:00
0007,07:00
0008,08:00
0009,09:00
0010,10:00
0011,11:00
0012,21:00
0013,13:00
0014,14:00
0015,15:00
0016,16:00
0017,17:00
0018,18:00
0019,19:00
0020,20:00
0021,21:00
0022,22:00
0023,23:00
0024,20:40
0025,20:50
0026,20:06
0027,20:07
0028,20:08
0029,20:09
0030,03:00
0031,13:00
0032,23:00
0033,03:30
0034,04:30
0035,05:30
0036,06:30
0037,07:30
0038,08:30
0039,09:30
0040,04:00
0041,14:00
0042,20:40
0043,04:30
0044,04:40
0045,05:40
0046,06:40
0047,07:40
0048,08:40
0049,09:40
0050,05:00
0051,15:00
0052,20:50
0053,05:30
0054,05:40
0055,05:50
0056,06:50
0057,07:50
0058,08:50
0059,09:50
0060,06:00
0061,16:00
0062,20:06
0063,06:30
0064,06:40
0065,06:50
0066,06:06
0067,07:06
0068,08:06
0069,09:06
0070,07:00
0071,17:00
0072,20:07
0073,07:30
0074,07:40
0075,07:50
0076,07:06
0077,07:07
0078,08:07
0079,09:07
0080,08:00
0081,18:00
0082,20:08
0083,08:30
0084,08:40
0085,08:50
0086,08:06
0087,08:07
0088,08:08
0089,09:08
0090,09:00
0091,19:00
0092,20:09
0093,09:30
0094,09:40
0095,09:50
0096,09:06
0097,09:07
0098,09:08
0099,09:09
0100,10:00
0101,11:00
0102,21:00
0103,13:00
0104,14:00
0105,15:00
0106,16:00
0107,17:00
0108,18:00
0109,19:00
0110,11:00
0111,11:10
0112,21:10
0113,13:10
0114,14:10
0115,15:10
0116,16:10
0117,17:10
0118,18:10
0119,19:10
0120,21:00
0121,21:10
0122,22:10
0123,23:10
0124,21:40
0125,21:50
0126,21:06
0127,21:07
0128,21:08
0129,21:09
0130,13:00
0131,13:10
0132,23:10
0133,13:30
0134,14:30
0135,15:30
0136,16:30
0137,17:30
0138,18:30
0139,19:30
0140,14:00
0141,14:10
0142,21:40
0143,14:30
0144,14:40
0145,15:40
